feature,mi
f6598,0.3440799262495857
f6596,0.33038820958836945
f0,0.29459140265991923
f6605,0.2601300018135455
f229,0.2509465336212733
f84,0.24744732177212336
f1,0.2421450149780462
f9,0.2347560537060822
f156,0.23429786822245946
f428,0.2306840349998036
f157,0.22741874935527617
f6604,0.2245896875989022
f148,0.22378640898062985
f302,0.2202500862174479
f74,0.21959019429633875
f82,0.2194222978213216
f6443,0.2193276823835446
f364,0.2189744076030462
f5686,0.21799092361796335
f5677,0.21791392969796242
f6213,0.21735036514502504
f218,0.2168217049197092
f6577,0.21681892775777056
f437,0.21579548993757625
f6208,0.2143331442957166
f221,0.21378563095818537
f6371,0.21225765584067258
f355,0.21087964162699713
f427,0.20998398873546886
f83,0.2098637465970712
f6267,0.20810977383367568
f6597,0.2080779214110211
f4890,0.20797365250259991
f6290,0.20735618299198855
f6132,0.2067985282640752
f6136,0.20676797224311638
f238,0.20480799299716868
f6357,0.2047816347672411
f354,0.20374419978846525
f6573,0.20306004940300815
f5722,0.2028743722653834
f5727,0.20274868113347644
f6362,0.20267688038305742
f230,0.20247225666047752
f6254,0.20243082540958035
f5394,0.20213021658844754
f6195,0.2021182003073827
f6677,0.2020050709796486
f6172,0.20185164415336843
f6348,0.20178754143725275
f5898,0.2013541079004053
f6312,0.20117518711448223
f5547,0.2011638983267674
f6660,0.20110443919526633
f5668,0.20093682884420305
f363,0.20063896487977662
f5313,0.20022590519671457
f6676,0.20014945292901398
f5749,0.19987037659291707
f6231,0.1996039338366593
f6131,0.19884342153546886
f5704,0.19805213767960117
f5200,0.19764091730957922
f165,0.19744563100977697
f6335,0.19663126010594656
f6479,0.19607073568266165
f6465,0.19592499219763315
f5943,0.19591587531913301
f6384,0.1955268317892731
f6470,0.19546305921330198
f6303,0.1953768697123821
f5726,0.19537225301423122
f6150,0.19535088444190896
f5430,0.19534177255970686
f290,0.19531920033053352
f6285,0.1952184290539578
f5277,0.19521824802565346
f6339,0.19488694006525753
f6105,0.1946754895723526
f5681,0.19464819421123059
f6258,0.19464603278113524
f91,0.1939110834662925
f18,0.19382331545774134
f6685,0.1937518741009958
f6239,0.19366013818202532
f5880,0.19351570797756557
f6568,0.19344013825165396
f6263,0.19335233935889207
f5214,0.19315943009807768
f6163,0.19286264534836484
f5763,0.19227556522495437
f6156,0.1920300201367091
f5871,0.19172859328733605
f5794,0.19171745205342727
f6442,0.191645683372208
f6325,0.1916087962532802
f5538,0.19157044992535255
f362,0.19147652232632817
f6420,0.19139519447257403
f5655,0.19127143058451512
f6326,0.19094300878202342
f164,0.19093548648279857
f6558,0.19090543104585622
f6221,0.19066363611892267
f147,0.19049692647496563
f2878,0.19042769511780033
f6281,0.19038024483325477
f4768,0.19037813218418664
f6276,0.19036114003755866
f5664,0.19034214142544226
f5511,0.18974449414432293
f154,0.18974048215324002
f6343,0.1896318229341416
f5196,0.1891894748520544
f220,0.18910407331357426
f6140,0.18893767803672334
f92,0.18885300622454038
f4237,0.18871360169649076
f6317,0.18862297116226445
f5223,0.1885867003073063
f281,0.1881487645096036
f6434,0.18804081877295387
f4277,0.18794933021811522
f6168,0.18791351525125322
f6123,0.187812380537002
f6321,0.1877275635950837
f6118,0.18758159301642285
f6398,0.1875645059766904
f5286,0.18748348717425545
f5844,0.18742912018852786
f6515,0.18739083087933084
f6411,0.18719769371853534
f5210,0.1871300476137603
f4926,0.18709627399646678
f5808,0.18694587796502926
f155,0.18681190729991348
f6069,0.1865620865700719
f6217,0.1864794212505836
f5253,0.1861444891327837
f5700,0.18555277265468906
f5682,0.18549363607418323
f10,0.1853855325967717
f5731,0.18533235484634636
f6393,0.1852119521686002
f6289,0.18518740255391775
f6418,0.18513609621958382
f6127,0.18488618652768318
f6602,0.18468602834619618
f2446,0.1846040345935167
f5367,0.18460392983684804
f5767,0.1844487925917777
f5862,0.18405947454843608
f5358,0.18404794503858257
f6338,0.1839880945955552
f291,0.18376235182463585
f6330,0.1835679717570846
f294,0.18352645795754663
f5676,0.18346563270509542
f4476,0.18335606888153366
f6248,0.18327491554655895
f6294,0.1831146195322475
f6576,0.18303667684529668
f6537,0.182976831183701
f6681,0.18289854967751262
f6141,0.18286137864529817
f6149,0.18271793356787747
f6487,0.18271074224242634
f5997,0.18253958014996297
f6416,0.18242316437139516
f6227,0.18233851115577338
f6407,0.1822313768828936
